user_id,activity_id,activity_name,category,activity_type,user_mood,user_interest_score,label
22,114,Dance lessons,Skill,Skill-building,Happy,0.91,0
23,112,Painting class,Culture,Skill-building,Relaxed,0.26,1
26,114,Dance lessons,Skill,Skill-building,Anxious,0.48,1
16,102,Visit art museum,Culture,Relaxing,Relaxed,0.75,0
22,106,Yoga retreat,Wellness,Wellness,Focused,0.38,0
24,111,Rock climbing,Outdoors,Adventurous,Curious,0.45,0
4,111,Rock climbing,Outdoors,Adventurous,Energetic,0.89,1
48,105,Attend book club,Social,Social,Happy,0.4,0
46,105,Attend book club,Social,Social,Curious,0.97,0
39,104,Kayaking at lake,Outdoors,Adventurous,Anxious,0.65,0
15,101,Hiking in mountains,Outdoors,Adventurous,Calm,0.91,0
27,113,Wine tasting,Social,Relaxing,Calm,0.21,1
40,115,Camping trip,Outdoors,Adventurous,Calm,0.87,0
12,104,Kayaking at lake,Outdoors,Adventurous,Calm,0.64,1
6,108,Volunteer at shelter,Social,Social,Curious,0.36,0
21,108,Volunteer at shelter,Social,Social,Calm,0.16,0
3,104,Kayaking at lake,Outdoors,Adventurous,Curious,0.22,1
33,112,Painting class,Culture,Skill-building,Relaxed,0.44,0
45,111,Rock climbing,Outdoors,Adventurous,Relaxed,0.47,1
46,113,Wine tasting,Social,Relaxing,Energetic,0.97,1
37,115,Camping trip,Outdoors,Adventurous,Relaxed,0.05,1
7,105,Attend book club,Social,Social,Anxious,0.72,0
32,114,Dance lessons,Skill,Skill-building,Relaxed,0.68,1
7,110,Meditation session,Wellness,Wellness,Focused,0.27,1
26,109,Learn guitar,Skill,Skill-building,Energetic,0.29,1
38,105,Attend book club,Social,Social,Curious,0.57,0
32,109,Learn guitar,Skill,Skill-building,Anxious,0.48,1
32,104,Kayaking at lake,Outdoors,Adventurous,Curious,0.31,1
34,111,Rock climbing,Outdoors,Adventurous,Happy,0.24,1
44,105,Attend book club,Social,Social,Focused,0.0,0
29,110,Meditation session,Wellness,Wellness,Happy,0.35,0
5,114,Dance lessons,Skill,Skill-building,Focused,0.97,1
5,115,Camping trip,Outdoors,Adventurous,Calm,0.14,0
13,102,Visit art museum,Culture,Relaxing,Curious,0.37,1
11,103,Solo cooking class,Skill,Skill-building,Relaxed,0.62,1
40,101,Hiking in mountains,Outdoors,Adventurous,Focused,0.2,0
14,101,Hiking in mountains,Outdoors,Adventurous,Anxious,0.42,0
42,112,Painting class,Culture,Skill-building,Calm,0.76,1
23,108,Volunteer at shelter,Social,Social,Curious,0.47,0
8,105,Attend book club,Social,Social,Energetic,0.38,0
29,113,Wine tasting,Social,Relaxing,Focused,0.08,0
21,114,Dance lessons,Skill,Skill-building,Anxious,0.88,0
36,105,Attend book club,Social,Social,Anxious,0.9,1
24,108,Volunteer at shelter,Social,Social,Focused,0.2,0
48,114,Dance lessons,Skill,Skill-building,Calm,0.67,0
39,110,Meditation session,Wellness,Wellness,Calm,0.11,1
49,109,Learn guitar,Skill,Skill-building,Relaxed,0.04,1
36,103,Solo cooking class,Skill,Skill-building,Curious,0.77,1
2,102,Visit art museum,Culture,Relaxing,Focused,0.89,0
49,112,Painting class,Culture,Skill-building,Calm,0.79,0
24,108,Volunteer at shelter,Social,Social,Curious,0.22,0
38,112,Painting class,Culture,Skill-building,Anxious,0.48,0
45,103,Solo cooking class,Skill,Skill-building,Happy,0.85,1
38,113,Wine tasting,Social,Relaxing,Focused,0.25,0
16,104,Kayaking at lake,Outdoors,Adventurous,Focused,0.16,0
35,102,Visit art museum,Culture,Relaxing,Energetic,0.69,0
17,106,Yoga retreat,Wellness,Wellness,Energetic,0.87,0
46,102,Visit art museum,Culture,Relaxing,Relaxed,0.9,0
2,113,Wine tasting,Social,Relaxing,Energetic,0.77,0
22,109,Learn guitar,Skill,Skill-building,Calm,0.44,0
43,105,Attend book club,Social,Social,Focused,0.38,1
17,113,Wine tasting,Social,Relaxing,Calm,0.72,0
26,109,Learn guitar,Skill,Skill-building,Relaxed,0.48,0
12,106,Yoga retreat,Wellness,Wellness,Energetic,0.71,0
50,104,Kayaking at lake,Outdoors,Adventurous,Happy,0.42,1
29,108,Volunteer at shelter,Social,Social,Energetic,0.77,0
26,107,Photography workshop,Skill,Skill-building,Focused,0.38,0
34,110,Meditation session,Wellness,Wellness,Curious,0.61,0
36,107,Photography workshop,Skill,Skill-building,Focused,0.09,0
12,105,Attend book club,Social,Social,Happy,0.16,1
43,112,Painting class,Culture,Skill-building,Calm,0.43,0
16,106,Yoga retreat,Wellness,Wellness,Relaxed,0.43,0
15,109,Learn guitar,Skill,Skill-building,Focused,0.83,0
46,109,Learn guitar,Skill,Skill-building,Anxious,0.44,1
18,106,Yoga retreat,Wellness,Wellness,Relaxed,0.85,1
11,108,Volunteer at shelter,Social,Social,Calm,0.89,1
17,108,Volunteer at shelter,Social,Social,Relaxed,0.88,1
2,112,Painting class,Culture,Skill-building,Relaxed,0.97,1
23,103,Solo cooking class,Skill,Skill-building,Relaxed,0.28,0
46,106,Yoga retreat,Wellness,Wellness,Relaxed,0.08,0
38,109,Learn guitar,Skill,Skill-building,Anxious,0.52,1
18,115,Camping trip,Outdoors,Adventurous,Happy,0.66,0
40,115,Camping trip,Outdoors,Adventurous,Happy,0.4,1
46,112,Painting class,Culture,Skill-building,Curious,0.86,0
2,115,Camping trip,Outdoors,Adventurous,Focused,0.91,0
13,109,Learn guitar,Skill,Skill-building,Curious,0.8,0
2,108,Volunteer at shelter,Social,Social,Focused,0.79,0
33,114,Dance lessons,Skill,Skill-building,Relaxed,0.41,0
21,107,Photography workshop,Skill,Skill-building,Relaxed,0.28,1
15,104,Kayaking at lake,Outdoors,Adventurous,Curious,0.54,1
4,103,Solo cooking class,Skill,Skill-building,Focused,0.71,1
8,110,Meditation session,Wellness,Wellness,Happy,0.94,0
41,106,Yoga retreat,Wellness,Wellness,Focused,0.74,0
28,115,Camping trip,Outdoors,Adventurous,Anxious,0.96,0
